#taxa	84B.R1.48H	84B.R2.48H	84B.S1.48H	84B.S2.48H	84B.NC.48H	21B.R1.48H	21B.R2.48H	21B.S1.48H	21B.S2.48H	21B.NC.48H	73B.R1.48H	73B.R2.48H	73B.S1.48H	73B.S2.48H	73B.NC..48H	21A.R1.48H	21A.R2.48H	21A.S1.48H	21A.S2.48H	21A.NC.48H	66A.R1.48H	66A.R2.48H	66A.S1.48H	66A.S2.48H	66A.NC.48H	41B.R1.48H	41B.R2.48H	41B.S1.48H	41B.S2.48H	41B.NC.48H	50B.R1.48H	50B.R2.48H	50B.S1.48H	50B.S2.48H	50B.NC.48H	67A.R2.48H	67A.S1.48H	67A.S2.48H	67A.NC.48H	92A.R1.48H	92A.R2.48H	92A.S1.48H	92A.S2.48H	92A.NC.48H	92B.R1.48H	92B.R2.48H	92B.S1.48H	92B.S2.48H	92B.NC.48H	161A.R1.48H	161A.R2.48H	161A.S1.48H	161A.S2.48H	161A.NC.48H	66B.R1.48H	66B.R2.48H	66B.S1.48H	66B.S2.48H	66B.NC.48H	123A.R1.48H	123A.R2.48H	123A.S1.48H	123A.S2.48H	123A.NC.48H	58B.R1.48H	58B.R2.48H	58B.S1.48H	58B.S2.48H	58B.NC.48H	137B.R1.48H	137B.R2.48H	137B.S1.48H	137B.S2.48H	137B.NC.48H	276B.R1.48H	276B.R2.48H	276B.S1.48H	276B.S2.48H	276B.NC.48H	123B.R1.48H	123B.R2.48H	123B.S1.48H	123B.S2.48H	123B.NC.48H	116A.R1.48H	116A.R2.48H	116A.S1.48H	116A.S2.48H	116A.NC.48H	239B.R1.48H	239B.R2.48H	239B.S1.48H	239B.S2.48H	239B.NC.48H	MediaControl	176A.R1.48H	176A.R2.48H	176A.S1.48H	176A.S2.48H	176A.NC.48H	276A.R1.48H	276A.R2.48H	276A.S1.48H	276A.S2.48H	276A.NC.48H	84A.R1.48H	84A.R2.48H	84A.S1.48H	84A.S2.48H	84A.NC.48H	58A.R1.48H	58A.R2.48H	58A.S1.48H	58A.S2.48H	58A.NC.48H	137A.R1.48H	137A.S1.48H	137A.S2.48H	137A.NC.48H	41A.R1.48H	41A.R2.48H	41A.S1.48H	41A.S2.48H	41A.NC.48H	161B.R1.48H	161B.R2.48H	161B.S1.48H	161B.S2.48H	161B.NC.48H	73A.R1.48H	73A.R2.48H	73A.S1.48H	73A.S2.48H	73A.NC.48H	50A.R1.48H	50A.R2.48H	50A.S1.48H	50A.S2.48H	50A.NC.48H	116B.R1.48H	116B.R2.48H	116B.S1.48H	116B.S2.48H	116B.NC.48H	176B.R1.48H	176B.R2.48H	176B.S1.48H	176B.S2.48H	176B.NC.48H	239A.R1.48H	239A.R2.48H	239A.S1.48H	239A.S2.48H	239A.NC.48H	67B.R1.48H	67B.R2.48H	67B.S1.48H	67B.S2.48H	67B.NC.48H	161A.R1.0H	161A.R2.0H	161A.S1.0H	161A.S2.0H	161A.NC.0H	239A.R1.0H	239A.R2.0H	239A.S1.0H	239A.S2.0H	239A.NC.0H	116A.R1.0H	116A.R2.0H	116A.S1.0H	116A.S2.0H	116A.NC.0H	137B.R1.0H	137B.R2.0H	137B.S1.0H	137B.S2.0H	137B.NC.0H	67A.R1.0H	67A.R2.0H	67A.S1.0H	67A.S2.0H	67A.NC.0H	73B.R1.0H	73B.R2.0H	73B.S1.0H	73B.S2.0H	73.NC.0H	MediaControl48h	58B.R1.0H	58B.R2.0H	58B.S1.0H	58B.S2.0H	58B.NC.0H	67B.R1.0H	67B.R2.0H	67B.S1.0H	67B.S2.0H	67B.NC.0H	92A.R1.0H	92A.R2.0H	92A.S1.0H	92A.S2.0H	92A.NC.0H	176A.R1.0H	176A.R2.0H	176A.S1.0H	176A.S2.0H	176A.NC.0H	137A.R1.0H	137A.R2.0H	137A.S1.0H	137A.S2.0H	137A.NC.0H	41A.R1.0H	41A.R2.0H	41A.S1.0H	41A.S2.0H	41A.NC.40H	50A.R1.0H	50A.R2.0H	50A.S1.0H	50A.S2.0H	50A.NC.0H	58A.R1.0H	58A.R2.0H	58A.S1.0H	58A.S2.0H	58A.NC.0H	73A.R1.0H	73A.R2.0H	73A.S1.0H	73A.S2.0H	73A.NC.0H	66B.R1.0H	66B.R2.0H	66B.S1.0H	66B.NC.0H	66B.S2.0H	41B.R1.0H	41B.R2.0H	41B.S1.0H	41B.S2.0H	41B.NC.0H	84B.R1.0H	84B.R2.0H	84B.S1.0H	84B.S2.0H	84B.NC.0H	50B.R1.0H	50B.R2.0H	50B.S1.0H	50B.S2.0H	50B.NC.0H	161B.R2.0H	161B.R1.0H	161B.S1.0H	161B.S2.0H	161B.NC.0H	21A.R1.0H	21A.R2.0H	21A.S1.0H	21A.S2.0H	21A.NC.0H	66A.R1.0H	66A.R2.0H	66A.S1.0H	66A.S2.0H	66A.NC.0H	84A.R1.0H	84A.R2.0H	84A.S1.0H	84A.S2.0H	123A.R1.0H	123A.R2.0H	123A.S1.0H	123A.S2.0H	123A.NC.0H	239B.R1.0H	239B.R2.0H	239B.S1.0H	239B.S2.0H	239B.NC.0H	21B.R1.0H	21B.R2.0H	21B.S1.0H	21B.S2.0H	21B.NC.0H	92B.R1.0H	92B.R2.0H	92B.S1.0H	92B.S2.0H	92B.NC.0H	176B.R1.0H	176B.R2.0H	176B.S1.0H
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	20	120	144	41	0	0	0	0	0	0	0	0	0	0	363	0	229	0	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	65	0	69	74	0	34	0	256	99	0	99	16	229	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	3831	3390	3425	3237	3459	0	0	0	0	0	0	0	0	0	0	20	18	21	22	15	2071	1799	2555	2334	1731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	122	0	0	0	0	0	0	0	49	33	37	27	43	28	28	29	0	0	0	0	0	0	0	0	0	0	25	26	50	25	30	55	85	56
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	0	72	81	0	56	0	11	0	0	0	36	17	13	12	0	0	0	0	0	0	13	0	0	0	0	20	0	13	0	15	0	0	0	0	0	0	0	0	0	11	12	0	0	16	0	14	0	0	0	0	0	0	0	0	24	12	19	14	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	27	0	21	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	14	0	0	0	0	0	12	15	15	0	21	0	0	0	0	0	0	0	0	0	0	44	0	11	0	48	0	0	0	12	0	0	0	0	0	0	29	51	45	16	12	20	27	30	30	22	0	0	0	0	0	37	38	27	33	26	17	29	47	33	27	91	37	66	95	22	26	42	24	23	29	25	27	21	29	27	18	38	82	52	54	46	76	41	129	31	68	83	20	52	56	93	97	0	0	0	0	0	0	0	0	0	12	211	205	209	194	327	52	55	88	80	34	0	0	0	0	0	0	22	57	52	45	14	27	46	23	15	0	0	12	20	0	91	39	67	52	77	47	89	73	105	68	30	45	11	15	34	34	19	13	0	48	89	113	83	0	26	21	21	71	0	57	80	54	65	17	22	25	16	11	17	14	13
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales	1730	2622	2815	1223	2354	1683	985	166	444	1856	1106	13275	1387	11957	3693	3374	3763	2605	2858	1838	1989	26790	10115	2518	5171	287	7841	5516	12126	121	3214	22624	10946	11787	3560	9284	6263	5581	5017	16324	22108	17068	35972	13583	12813	32026	39868	14571	8663	3855	13537	2570	22524	2403	30845	35195	2857	39689	1916	142	56	712	1454	160	980	60624	1265	26101	562	13932	48823	27927	48208	7771	1028	12917	361	1467	1089	119	1744	125	703	87	4800	11207	5544	14003	6167	4155	15881	7795	11544	5455	41	1517	19604	7323	17964	1264	464	4527	535	5689	477	1831	1923	1169	637	1794	844	7139	875	2116	68	6428	5906	39146	5524	1017	6116	1805	4391	202	1168	11136	3074	7272	729	1432	7022	2955	1592	794	1863	6712	2790	5513	1582	720	27255	13811	21766	6352	11048	19959	9346	7138	5380	18012	13110	7744	27513	10060	13945	23835	21784	18605	19793	3820	4341	3943	3123	3337	12910	11899	12411	11136	13155	4434	5616	6971	5447	6792	17205	14059	12195	14697	16388	23434	19907	26219	25951	18359	2541	2296	2306	3342	4911	5159	914	11104	10977	10564	8960	10251	860	1068	1000	597	1203	7239	6239	6647	7935	6844	8349	14566	3694	8332	8965	1075	1386	1318	1552	2110	5032	4264	4037	5215	4249	2867	3130	3226	3675	4077	14853	13093	13781	14890	20029	1415	1454	1947	1699	1320	6447	5780	7763	5377	6667	0	10886	11215	17733	14194	4503	4944	4712	3200	3771	3671	1508	2480	4406	2759	2318	1914	1661	1404	1604	1751	2707	7601	2762	2516	4010	5697	2608	5108	6761	21655	14244	13775	13010	23276	11031	12322	10211	0	6240	4106	4228	2686	406	1204	1149	1315	1449	17621	18151	18358	15602	15581	20478	24950	19950
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales	12	27	29	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	38	42	34	30	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales	2524	2432	2374	1276	1951	15024	7764	13923	4399	14458	1895	1089	555	92	9020	13385	13062	11049	13791	255	3423	3763	4836	2961	2453	7975	8350	7948	8972	11059	3416	169	1142	1790	4505	2305	2416	2562	1817	1533	588	686	746	1777	673	93	90	752	867	14872	21116	9330	16951	10527	4528	2882	9519	3142	5587	3214	2155	2627	1638	3915	1573	519	1555	1420	1602	354	121	611	200	813	4045	354	2286	2713	3632	3955	6187	2674	3302	2862	5113	1273	3972	6130	6554	9004	14234	12810	13456	16977	191	2139	1704	2521	2640	3845	1346	1301	1338	4285	2332	1305	2267	828	451	1214	348	1811	280	209	202	343	416	829	1001	4030	7493	3955	4395	4740	19539	23503	14324	23586	17165	248	495	507	171	777	1454	252	1341	1083	1573	2835	357	3668	877	4705	6432	228	3051	703	6143	7650	7979	14522	8534	6627	4347	1874	1500	2107	3961	9773	10395	10819	6634	7449	8961	9780	8638	8093	9910	961	1568	2149	1727	2368	235	205	212	206	302	4016	4448	5818	5981	4128	494	292	347	305	316	374	518	6925	8371	7188	6147	7510	2638	3848	3220	2329	4147	1137	859	806	1137	1079	1997	5442	489	2645	3083	547	737	638	688	1115	2056	1655	1557	1998	1596	1055	1270	1267	1273	1545	1936	1902	1966	2056	2875	4487	5077	6958	6291	5223	2278	1809	2948	1954	1062	0	234	312	277	303	218	353	392	307	264	1380	566	883	1931	1089	1766	2650	5513	4850	5394	266	386	2019	1821	3375	1886	2470	462	1521	3193	329	142	180	153	887	3630	4321	3134	0	392	312	251	451	63	563	462	599	826	219	221	228	206	182	248	384	247
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	4912	9157	4877	4169	3759	13833	16209	20881	11936	7469	15384	0	18983	0	19278	13448	19022	9021	18247	9748	10524	13	2303	7516	13434	3907	2411	7205	11950	3307	3362	54	843	1476	3671	8624	8366	5836	6095	4613	11	4321	27	6569	5752	112	76	6941	4441	2074	0	2157	11	1375	2199	58	4816	145	2769	22605	7197	19703	1162	19608	9731	0	0	0	0	1277	832	2961	906	2139	3423	1991	4586	4018	2900	15494	6289	10040	4299	11070	13358	5833	11308	3804	17435	6881	0	11392	1925	8161	18934	12719	6347	10496	7065	16942	12698	2033	16428	1571	17044	10278	7122	11354	10606	13441	7803	4829	6394	2856	4118	3878	5519	398	9148	10704	4497	11662	6815	9784	3605	27	3569	3961	4494	5824	3244	10004	2324	9352	9837	209	10101	3437	7861	7787	3906	4515	8237	3717	8812	4434	4998	11900	5581	1760	5182	4875	0	6039	5005	287	4998	4618	7105	95	89	76	99	53	0	0	0	0	0	190	389	371	221	420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	288	297	215	310	255	45	43	38	117	64	32	52	40	36	66	0	0	0	0	0	331	445	582	275	205	0	0	0	0	0	0	0	0	0	0	42	13	14	86	33	0	0	0	0	0	0	0	1749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
