#taxa	21B.R1.48H	21B.R2.48H	21B.S1.48H	21B.S2.48H	21B.NC.48H	21A.R1.48H	21A.R2.48H	21A.S1.48H	21A.S2.48H	21A.NC.48H	41B.R1.48H	41B.R2.48H	41B.S1.48H	41B.S2.48H	41B.NC.48H	50B.R1.48H	50B.R2.48H	50B.S1.48H	50B.S2.48H	50B.NC.48H	161A.R1.48H	161A.R2.48H	161A.S1.48H	161A.S2.48H	161A.NC.48H	123A.R1.48H	123A.R2.48H	123A.S1.48H	123A.S2.48H	123A.NC.48H	58B.R1.48H	58B.R2.48H	58B.S1.48H	58B.S2.48H	58B.NC.48H	239B.R1.48H	239B.R2.48H	239B.S1.48H	239B.S2.48H	239B.NC.48H	58A.R1.48H	58A.R2.48H	58A.S1.48H	58A.S2.48H	58A.NC.48H	41A.R1.48H	41A.R2.48H	41A.S1.48H	41A.S2.48H	41A.NC.48H	161B.R1.48H	161B.R2.48H	161B.S1.48H	161B.S2.48H	161B.NC.48H	50A.R1.48H	50A.R2.48H	50A.S1.48H	50A.S2.48H	50A.NC.48H	239A.R1.48H	239A.R2.48H	239A.S1.48H	239A.S2.48H	239A.NC.48H	161A.R1.0H	161A.R2.0H	161A.S1.0H	161A.S2.0H	161A.NC.0H	239A.R1.0H	239A.R2.0H	239A.S1.0H	239A.S2.0H	239A.NC.0H	58B.R1.0H	58B.R2.0H	58B.S1.0H	58B.S2.0H	58B.NC.0H	41A.R1.0H	41A.R2.0H	41A.S1.0H	41A.S2.0H	41A.NC.40H	50A.R1.0H	50A.R2.0H	50A.S1.0H	50A.S2.0H	50A.NC.0H	58A.R1.0H	58A.R2.0H	58A.S1.0H	58A.S2.0H	58A.NC.0H	41B.R1.0H	41B.R2.0H	41B.S1.0H	41B.S2.0H	41B.NC.0H	50B.R1.0H	50B.R2.0H	50B.S1.0H	50B.S2.0H	50B.NC.0H	161B.R2.0H	161B.R1.0H	161B.S1.0H	161B.S2.0H	161B.NC.0H	21A.R1.0H	21A.R2.0H	21A.S1.0H	21A.S2.0H	21A.NC.0H	123A.R1.0H	123A.R2.0H	123A.S1.0H	123A.S2.0H	123A.NC.0H	239B.R1.0H	239B.R2.0H	239B.S1.0H	239B.S2.0H	239B.NC.0H	21B.R1.0H	21B.R2.0H	21B.S1.0H	21B.S2.0H	21B.NC.0H
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	363	0	229	0	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	34	0	256	99	0	99	16	229	0	0	0	0	0	0	0	0	0	0	3831	3390	3425	3237	3459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	122	0	27	43	28	28	29	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae	0	11	0	0	0	0	0	0	0	0	20	0	13	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	29	51	45	16	12	20	27	30	30	22	42	24	23	29	25	97	0	0	0	0	0	0	0	0	0	12	211	205	209	194	0	0	22	57	52	15	0	0	12	20	0	91	39	67	52	77	47	89	73	105	0	48	89	113	83	0	26	21	21	71	0	57	80	54	65
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae	1683	985	166	444	1856	3374	3763	2605	2858	1838	287	7841	5516	12126	121	3214	22624	10946	11787	3560	3855	13537	2570	22524	2403	142	56	712	1454	160	980	60624	1265	26101	562	4155	15881	7795	11544	5455	844	7139	875	2116	68	1017	6116	1805	4391	202	1168	11136	3074	7272	729	1863	6712	2790	5513	1582	18012	13110	7744	27513	10060	3820	4341	3943	3123	3337	12910	11899	12411	11136	13155	914	11104	10977	10564	8960	2110	5032	4264	4037	5215	4249	2867	3130	3226	3675	4077	14853	13093	13781	14890	6667	0	10886	11215	17733	3771	3671	1508	2480	4406	2759	2318	1914	1661	1404	1604	1751	2707	7601	2762	13010	23276	11031	12322	10211	0	6240	4106	4228	2686	406	1204	1149	1315	1449
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	42	34	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	11	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	843	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	15024	7764	13923	4399	14458	13385	13062	11049	13791	255	7975	8350	7948	8972	11059	3416	169	1142	1790	4505	14872	21116	9330	16951	10527	3214	2155	2627	1638	3915	1573	519	1555	1420	1602	9004	14234	12810	13456	16977	348	1811	280	209	202	4030	7493	3955	4395	4740	19539	23503	14324	23586	17165	1454	252	1341	1083	1573	7650	7979	14522	8534	6627	9773	10395	10819	6634	7449	8961	9780	8638	8093	9910	518	6925	8371	7188	6147	1115	2056	1655	1557	1998	1596	1055	1270	1267	1273	1545	1936	1902	1966	2056	1062	0	234	312	277	264	1380	566	883	1931	1089	1766	2650	5513	4850	5394	266	386	2019	1821	153	887	3630	4321	3134	0	392	312	251	451	63	563	462	599	826
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	13512	12905	13185	9411	7196	9783	18718	4079	17555	9388	1752	1877	5804	3041	1680	2520	54	642	1116	2559	1232	0	840	0	587	22354	7177	12444	1162	19437	8495	0	0	0	0	5777	0	7902	1444	6723	5483	3118	3219	1602	2721	8154	3551	7373	2527	7145	2719	27	2300	1290	3017	8360	190	6528	1321	6284	1416	4137	4018	0	4075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	241	152	225	189	27	27	16	80	25	32	27	25	21	140	0	0	0	0	0	16	0	0	20	14	0	0	0	0	0	0	0	1200	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
